Sample	Individual	TMT11Plex	Well_location	Plate_location	Treatment	Drug_first	Product.Name	Pathway	Name	ATC	Level_4	Level_3	Level_2	Level_1	synonym	smiles	drug	ATC_colours	Selected_N
V45_P1D8	V45	V45_P1D	P1D8	P1	Drug	Terazosin	Terazosin	GPCR/G Protein; Neuronal Signaling	Terazosin	G04CA03	G04CA	G04C	G04	G	"['1-(4-Amino-6,7-dimethoxy-2-quinazolinyl)-4-((tetrahydro-2-furanyl)carbonyl)piperazine', 'Terazosin', 'Terazosina', 'Terazosine', 'T√©razosine', 'Terazosinum']"	O=C(N1CCN(C2=NC(N)=C3C=C(OC)C(OC)=CC3=N2)CC1)C4OCCC4.O.Cl.O	Terazosin (hydrochloride dihydrate)	de597c	xOthers
V45_P1E2	V45	V45_P1E	P1E2	P1	Drug	Verapamil	Verapamil	Membrane Transporter/Ion Channel; Neuronal Signaling	Verapamil	C08DA01	C08DA	C08D	C08	C	"['Iproveratril', 'V√©rapamil', 'Verapamil', 'Verapamilo', 'Verapamilum']"	[H]Cl.COC1=CC=C(C(C#N)(C(C)C)CCCN(CCC2=CC=C(OC)C(OC)=C2)C)C=C1OC	Verapamil (hydrochloride)	d8443c	xOthers
V45_P1E3	V45	V45_P1E	P1E3	P1	Drug	Amiodarone	Amiodarone	Autophagy; Membrane Transporter/Ion Channel	Amiodarone	C01BD01	C01BD	C01B	C01	C	"['2-Butyl-3-(3,5-diiodo-4-(2-diethylaminoethoxy)benzoyl)benzofuran', '2-Butyl-3-benzofuranyl 4-(2-(diethylamino)ethoxy)-3,5-diiodophenyl ketone', 2-n-Butyl-3',5'-diiodo-4'-N-diethylaminoethoxy-3-benzoylbenzofuran, 'Amiodarona', 'Amiodarone', 'Amiodaronum']"	CCCCC1=C(C(C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)=O)C3=C(O1)C=CC=C3.Cl	Amiodarone (hydrochloride)	d8443c	xOthers
V45_P1E7	V45	V45_P1E	P1E7	P1	Drug	Oxybutynin	Oxybutynin	GPCR/G Protein; Membrane Transporter/Ion Channel; Neuronal Signaling	Oxybutynin	G04BD04	G04BD	G04B	G04	G	"['4-(Diethylamino)-2-butynyl alpha-phenylcyclohexaneglycolic acid ester', '4-Diethylamino-2-butinyl alpha-cyclohexylmandelat', '4-Diethylamino-2-butynyl alpha-phenylcyclohexaneglycolate', 'Oxibutinina', 'Oxybutynin', 'Oxybutynine', 'Oxybutyninum']"	O=C(C(O)(C1=CC=CC=C1)C2CCCCC2)OCC#CCN(CC)CC.[H]Cl	Oxybutynin (chloride)	de597c	xOthers
V45_P1E8	V45	V45_P1E	P1E8	P1	Drug	Cyclobenzaprine	Cyclobenzaprine	GPCR/G Protein; Neuronal Signaling	Cyclobenzaprine	M03BX08	M03BX	M03B	M03	M	"['(3-Dibenzo[a,d]cyclohepten-5-ylidene-propyl)-dimethyl-amine', 'Ciclobenzaprina', 'Cyclobenzaprine', 'Cyclobenzaprinum', 'N,N-dimethyl-5H-dibenzo(a,d)cycloheptene-Œî5,Œ≥-propylamine']"	CN(C)CC/C=C1C2=CC=CC=C2C=CC3=CC=CC=C\13.Cl	Cyclobenzaprine (hydrochloride)	633372	xOthers
V45_P1F10	V45	V45_P1F	P1F10	P1	Drug	Norethindrone	Norethindrone	Others	Norethindrone enanthate	G03AC01	G03AC	G03A	G03	G	"['Norethisterone enanthate', 'Norethisterone oenanthate']"	C#C[C@]1(OC(C)=O)CC[C@@]2([H])[C@]3([H])CCC4=CC(CC[C@]4([H])[C@@]3([H])CC[C@]12C)=O	Norethindrone acetate	f4c40f	xOthers
V45_P1F2	V45	V45_P1F	P1F2	P1	Drug	Lubiprostone	Lubiprostone	Membrane Transporter/Ion Channel	Lubiprostone	A06AX03	A06AX	A06A	A06	A	['Lubiprostone']	O=C(C(F)(F)CCCC)CC[C@@H]([C@@H](C1)O)[C@H](C1=O)CCCCCCC(O)=O	Lubiprostone	f4c40f	xOthers
V45_P1F3	V45	V45_P1F	P1F3	P1	Drug	Citalopram	Citalopram	Autophagy; Neuronal Signaling	Citalopram	N06AB04	N06AB	N06A	N06	N	"['Citalopram', 'Citalopramum', 'Nitalapram ']"	N#CC1=CC2=C(C(C3=CC=C(F)C=C3)(CCCN(C)C)OC2)C=C1.[H]Br	Citalopram (hydrobromide)	1f6e9c	xOthers
V45_P1F4	V45	V45_P1F	P1F4	P1	Drug	Rivaroxaban	Rivaroxaban	Metabolic Enzyme/Protease	Rivaroxaban	B01AF01	B01AF	B01A	B01	B	['Rivaroxaban']	O=C(N(C1=CC=C(N2C(COCC2)=O)C=C1)C3)O[C@H]3CNC(C4=CC=C(S4)Cl)=O	Rivaroxaban	fe9b00	xOthers
V45_P1F5	V45	V45_P1F	P1F5	P1	Drug	Olanzapine	Olanzapine	Apoptosis; Autophagy; GPCR/G Protein; Neuronal Signaling	Olanzapine	N05AH03	N05AH	N05A	N05	N	"['2-methyl-4-(4-methyl-1-piperazinyl)-10H-thieno[2,3-b][1,5]benzodiazepine', 'Olanzapin', 'Olanzapina', 'Olanzapine', 'Olanzapinum']"	CC1=CC(C(N2CCN(C)CC2)=N3)=C(S1)NC4=C3C=CC=C4	Olanzapine	1f6e9c	xOthers
V45_P1F6	V45	V45_P1F	P1F6	P1	Drug	Memantine	Memantine	Autophagy; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling	Memantine	N06DX01	N06DX	N06D	N06	N	"['1-Amino-3,5-dimethyladamantane', '1,3-Dimethyl-5-adamantanamine', '3,5-Dimethyl-1-adamantanamine', '3,5-Dimethyl-1-aminoadamantane', '3,5-Dimethyltricyclo(3.3.1.1(3,7))decan-1-amine', 'Memantina', 'Memantine', 'Memantinum']"	N[C@@]1(C2)C[C@]3(C)C[C@@]2(C)C[C@@H](C3)C1.Cl	Memantine (hydrochloride)	1f6e9c	xOthers
V45_P1F7	V45	V45_P1F	P1F7	P1	Drug	Pravastatin	Pravastatin	Apoptosis; Autophagy; Metabolic Enzyme/Protease	Pravastatin	C10AA03	C10BX	C10B	C10	C	"['(+)-(3R,5R)-3,5-dihydroxy-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1,2,6,7,8,8a-hexahydro-1-naphthyl]heptanoic acid', 'Pravastatin', 'Pravastatin acid', 'Pravastatina', 'Pravastatine', 'Pravastatinum']"	O[C@@H](C[C@@H](O)CC([O-])=O)CC[C@@H]([C@H](C=C1)C)[C@@](C1=C[C@@H](O)C2)([H])[C@H]2OC([C@@H](C)CC)=O.[Na+]	Pravastatin (sodium)	d8443c	xOthers
V45_P1F8	V45	V45_P1F	P1F8	P1	Drug	Olsalazine	Olsalazine	Anti-infection	Olsalazine	A07EC03	A07EC	A07E	A07	A	['Olsalazine']	O=C([O-])C1=C(O)C=CC(/N=N/C2=CC(C([O-])=O)=C(O)C=C2)=C1.[Na+].[Na+]	Olsalazine (Disodium)	f4c40f	xOthers
V45_P1F9	V45	V45_P1F	P1F9	P1	Drug	Progesterone	Progesterone	Metabolic Enzyme/Protease; Others	Progesterone	G03DA04	G03DA	G03D	G03	G	"['(S)-4-Pregnene-3,20-dione', '(S)-Pregn-4-en-3,20-dione', '(S)-Progesterone', '17alpha-Progesterone', '17Œ±-progesterone', '4-Pregnene-3,20-dione', 'Agolutin', 'Akrolutin', 'Corpus Luteum Hormone', 'delta(4)-Pregnene-3,20-dione', 'Gelbk√∂rperhormon', 'Luteohormone', 'Lutogynon', 'Pregn-4-ene-3,20-dione', 'Progesteron', 'Progesterona', 'Progest√©rone', 'Progesterone', 'Progesteronum']"	CC([C@H]1CC[C@@]2([H])[C@]3([H])CCC4=CC(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O)=O	Progesterone	de597c	xOthers
V45_P1G10	V45	V45_P1G	P1G10	P1	Drug	Valproic	Valproic	Anti-infection; Autophagy; Cell Cycle/DNA Damage; Epigenetics; Neuronal Signaling; Stem Cell/Wnt	Valproic acid	N03AG01	N03AG	N03A	N03	N	"['2-n-propyl-n-valeric acid', '2-propyl-pentanoic acid', '2-Propylpentanoic Acid', '2-Propylvaleric Acid', '4-heptanecarboxylic acid', 'acide valpro√Øque', '√°cido valproico', 'acidum valproicum', 'di-n-propylacetic acid', 'Di-n-propylessigs√§ure', 'Dipropylacetic acid', 'DPA', 'n-DPA', 'Valproate', 'Valproic acid', 'Valproins√§ure', 'VPA']"	[O-]C(C(CCC)CCC)=O.[Na+]	Valproic acid (sodium salt)	1f6e9c	xOthers
V45_P1G11	V45	V45_P1G	P1G11	P1	Drug	Drospirenone	Drospirenone	Others	Drospirenone	G03AC10	G03AA	G03A	G03	G	"['1,2-Dihydrospirorenone', '6Œ≤,7Œ≤;15Œ≤,16Œ≤-Dimethylene-3-oxo-17Œ±-pregn-4-ene-21,17-carbolactone', 'Dehydrospirorenone', 'Drospirenona', 'Drospirenone', 'Drospir√©none', 'Drospirenonum', 'DRSP']"	C[C@@]12[C@](OC3=O)(CC3)[C@@H](C4)[C@@H]4[C@@]1([H])[C@@]([C@@H]5[C@H]6C5)([H])[C@]([C@](C6=CC7=O)(CC7)C)([H])CC2	Drospirenone	de597c	xOthers
V45_P1G3	V45	V45_P1G	P1G3	P1	Drug	Pantoprazole	Pantoprazole	Apoptosis; Autophagy; Membrane Transporter/Ion Channel	Pantoprazole	A02BC02	A02BC	A02B	A02	A	"['Pantoprazol', 'Pantoprazole', 'Pantoprazolum']"	COC1=C(C(=NC=C1)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC(F)F)OC.[Na+]	Pantoprazole (sodium hydrate)	f4c40f	xOthers
V45_P1H3	V45	V45_P1H	P1H3	P1	Drug	Docusate	Docusate	Anti-infection	Docusate	A06AA02	A06AA	A06A	A06	A	"['Dioctyl sulfosuccinate', 'Docusate hydrogen']"	O=C(OCC(CC)CCCC)C(S(=O)([O-])=O)CC(OCC(CC)CCCC)=O.[Na+]	Docusate (Sodium)	92c051	xOthers
V45_P1H5	V45	V45_P1H	P1H5	P1	Drug	Azithromycin	Azithromycin	Anti-infection; Autophagy	Azithromycin	J01FA10	J01FA	J01F	J01	J	"['Azithromycin', 'Azithromycine', 'Azithromycinum', 'Azitromicina']"	C[C@@H]([C@@H]([C@@](C(O[C@@H]([C@@](C)(O)[C@@H]1O)CC)=O)([H])C)O[C@@](O[C@@H](C)[C@@H]2O)([H])C[C@@]2(C)OC)[C@H]([C@](O)(C[C@H](CN([C@@H]1C)C)C)C)O[C@@](O[C@H](C)C[C@@H]3N(C)C)([H])[C@@H]3O	Azithromycin	aa7aa1	xOthers
V45_P2A2	V45	V45_P2A	P2A2	P2	Drug	Venlafaxine	Venlafaxine	Neuronal Signaling	Venlafaxine	N06AX16	N06AX	N06A	N06	N	"['Venlafaxina', 'Venlafaxine', 'Venlafaxinum']"	OC1(C(C2=CC=C(OC)C=C2)CN(C)C)CCCCC1.Cl	Venlafaxine (hydrochloride)	1f6e9c	xOthers
V45_P2A4	V45	V45_P2A	P2A4	P2	Drug	D-Valine	D-Valine	Metabolic Enzyme/Protease	D-Valine	NA	NA	NA	NA	Unclassified	NA	CC(C)[C@@H](N)C(O)=O	D-Valine	grey	xOthers
V45_P2B2	V45	V45_P2B	P2B2	P2	Drug	Levonorgestrel	Levonorgestrel	Others	Levonorgestrel	G03AB03	G03FA	G03F	G03	G	"['(-)-13-Ethyl-17-hydroxy-18,19-dinor-17alpha-pregn-4-en-20-yn-3-one', '(8R,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-17-hydroxy- 1,2,6,7,8,9,10,11,12,13,14,15,16, 17- tetradecahydrocyclopenta[a] phenanthren-3-one', '13-beta-Ethyl-17alpha-ethynyl-17beta-hydroxygon-4-en-3-one', '13-Ethyl-17-alpha-ethynyl-17-beta-hydroxy-4-gonen-3-one', '13-Ethyl-17-alpha-ethynylgon-4-en-17-beta-ol-3-one', '17-alpha-Ethinyl-13-beta-ethyl-17-beta-hydroxy-4-estren-3-one', '17-alpha-Ethynyl-13-ethyl-19-nortestosterone', '17-Ethynyl-18-methyl-19-nortestosterone', '17alpha-Ethynyl-13beta-ethyl-3-oxo-4-estren-17beta-ol', '17alpha-Ethynyl-17-hydroxy-18-methylestr-4-en-3-one', '17alpha-Ethynyl-18-homo-19-nortestosterone', '18-Methyl-17-alpha-ethynyl-19-nortestosterone', '18-Methylnorethisterone', 'd(-)-Norgestrel', 'L√®vonorgestrel', 'Levonorgestrel', 'Levonorgestrelum']"	O=C1CC[C@]2([H])[C@@]3([H])CC[C@]4(CC)[C@@](C#C)(O)CC[C@@]4([H])[C@]3([H])CCC2=C1	Levonorgestrel	de597c	xOthers
V45_P2B4	V45	V45_P2B	P2B4	P2	Drug	Diacerein	Diacerein	Immunology/Inflammation	Diacerein	M01AX21	M01AX	M01A	M01	M	['Diacere√≠na']	O=C(C(C=C1C2=O)=CC(OC(C)=O)=C1C(C3=C2C=CC=C3OC(C)=O)=O)O	Diacerein	633372	xOthers
V45_P2B8	V45	V45_P2B	P2B8	P2	Drug	Clofazimine	Clofazimine	Anti-infection	Clofazimine	J04BA01	J04BA	J04B	J04	J	"['Clofazimin', 'Clofazimina', 'Clofazimine', 'Clofaziminum', 'Riminophenazine']"	CC(/N=C1C(NC2=CC=C(Cl)C=C2)=CC3=NC4=C(C=CC=C4)N(C5=CC=C(Cl)C=C5)C3=C/1)C	Clofazimine	aa7aa1	xOthers
V45_P2C2	V45	V45_P2C	P2C2	P2	Drug	Tamoxifen	Tamoxifen	Apoptosis; Autophagy; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease; Others	Tamoxifen	L02BA01	L02BA	L02B	L02	L	"['(Z)-2-(4-(1,2-Diphenyl-1-butenyl)phenoxy)-N,N-dimethylethanamine', '(Z)-2-(para-(1,2-Diphenyl-1-butenyl)phenoxy)-N,N-dimethylamine', '1-p-beta-Dimethylaminoethoxyphenyl-trans-1,2-diphenylbut-1-ene', '1-para-beta-Dimethylaminoethoxyphenyl-trans-1,2-diphenylbut-1-ene', 'Tamoxifen', 'Tamoxif√®ne', 'Tamoxifene', 'Tamoxifeno', 'Tamoxifenum', 'trans-Tamoxifen']"	CC/C(C1=CC=CC=C1)=C(C2=CC=C(OCCN(C)C)C=C2)\C3=CC=CC=C3	Tamoxifen	9f5691	xOthers
V45_P2C4	V45	V45_P2C	P2C4	P2	Drug	Varenicline	Varenicline	Membrane Transporter/Ion Channel; Neuronal Signaling	Varenicline	N07BA03	N07BA	N07B	N07	N	"['Vareniclina', 'Varenicline', 'Vareniclinum']"	C12=C(C=C3N=CC=NC3=C2)C4CC1CNC4	Varenicline	1f6e9c	xOthers
V45_P2C5	V45	V45_P2C	P2C5	P2	Drug	Iloperidone	Iloperidone	GPCR/G Protein; Neuronal Signaling	Iloperidone	N05AX14	N05AX	N05A	N05	N	"['1-[4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1- piperidinyl]propoxy]-3-methoxyphenyl]ethanone', 4'-(3-(4-(6-fluoro-1,2-benzisoxazol-3-yl)piperidino)propoxy)-3'-methoxyacetophenone, 'Iloperidona', 'Ilop√©ridone', 'Iloperidone', 'Iloperidonum']"	CC(C1=CC=C(OCCCN2CCC(C3=NOC4=C3C=CC(F)=C4)CC2)C(OC)=C1)=O	Iloperidone	1f6e9c	xOthers
V45_P2C8	V45	V45_P2C	P2C8	P2	Drug	Amoxapine	Amoxapine	Others	Amoxapine	N06AA17	N06AA	N06A	N06	N	"['2-Chloro-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepine', 'Amoxapin', 'Amoxapina', 'Amoxapine', 'Amoxapinum', 'Amoxepine', 'Desmethylloxapin']"	ClC1=CC=C(OC2=CC=CC=C2N=C3N4CCNCC4)C3=C1	Amoxapine	1f6e9c	Selectedv45
V45_P2C9	V45	V45_P2C	P2C9	P2	Drug	L-Tryptophan	L-Tryptophan	Metabolic Enzyme/Protease	Tryptophan	N06AX02	N06AX	N06A	N06	N	"['(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid', '(S)-alpha-Amino-beta-(3-indolyl)-propionic acid', '(S)-Tryptophan', '(S)-α-amino-1H-indole-3-propanoic acid', 'L-(-)-Tryptophan', 'L-(−)-tryptophan', 'L-Tryptophan', 'L-β-3-indolylalanine', 'Triptofano', 'Trp', 'Tryptophan', 'Tryptophane', 'Tryptophanum', 'W']"	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O	L-Tryptophan	1f6e9c	xOthers
V45_P2D4	V45	V45_P2D	P2D4	P2	Drug	Asenapine	Asenapine	GPCR/G Protein; Neuronal Signaling	Asenapine	N05AH05	N05AH	N05A	N05	N	"['asenapina', 'Asenapine']"	ClC1=CC=C2OC3=CC=CC=C3[C@@](C4)([H])[C@](CN4C)([H])C2=C1	Asenapine	1f6e9c	xOthers
V45_P2D9	V45	V45_P2D	P2D9	P2	Drug	Linezolid	Linezolid	Anti-infection	Linezolid	J01XX08	J01XX	J01X	J01	J	"['Linezolid', 'Linezolide', 'Linezolidum', 'N-(((S)-3-(3-Fluoro-4-morpholinophenyl)-2-oxo-5-oxazolidinyl)methyl)acetamide']"	O=C(O[C@H]1CNC(C)=O)N(C1)C2=CC(F)=C(N3CCOCC3)C=C2	Linezolid	aa7aa1	xOthers
V45_P2E3	V45	V45_P2E	P2E3	P2	Drug	Capsaicin	Capsaicin	Autophagy; Membrane Transporter/Ion Channel; Neuronal Signaling	Capsaicin	M02AB01	M02AB	M02A	M02	M	"['(E)-8-Methyl-N-vanillyl-6-nonenamide', 'Capsaicin', 'Capsaicina', 'Isodecenoic acid vanillylamide', 'trans-8-Methyl-N-vanillyl-6-nonenamide']"	CC(C)/C=C/CCCCC(NCC1=CC=C(O)C(OC)=C1)=O	Capsaicin	1f6e9c	xOthers
V45_P2E4	V45	V45_P2E	P2E4	P2	Drug	Nimodipine	Nimodipine	Autophagy; Membrane Transporter/Ion Channel; Neuronal Signaling	Nimodipine	C08CA06	C08CA	C08C	C08	C	"[2,6-dimethyl-4-(3'-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylic acid 3-Œ≤-methoxyethyl ester 5-isopropyl ester, 'isopropyl 2-methoxyethyl 1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylate', 'isopropyl 2-methoxyethyl 1,4-dihydro-2,6-dimethyl-4-(m-nitrophenyl)-3,5-pyridinedicarboxylate', 'Nimodipine', 'Nimodipino', 'Nimodipinum']"	O=C(C1=C(C)NC(C)=C(C(OC(C)C)=O)C1C2=CC=CC([N+]([O-])=O)=C2)OCCOC	Nimodipine	d8443c	xOthers
V45_P2E5	V45	V45_P2E	P2E5	P2	Drug	Nitisinone	Nitisinone	Immunology/Inflammation; Metabolic Enzyme/Protease; NF-Œ∫B	Nitisinone	A16AX04	A16AX	A16A	A16	A	"['2-(alpha,alpha,alpha-Trifluoro-2-nitro-p-tuluoyl)-1,3-cyclohexanedione', 'Nitisinona', 'Nitisinone', 'Nitisinonum']"	O=C1C(C(C2=CC=C(C(F)(F)F)C=C2[N+]([O-])=O)=O)C(CCC1)=O	Nitisinone	f4c40f	xOthers
V45_P2E6	V45	V45_P2E	P2E6	P2	Drug	Piperacillin	Piperacillin	Anti-infection	Piperacillin	J01CA12	J01CA	J01C	J01	J	"['(2S,5R,6R)-6-{[(2R)-2-{[(4-ethyl-2,3-dioxopiperazin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid', 'Piperacilina', 'Piperacillin', 'Piperacillin anhydrous', 'Piperacillina', 'Pip√©racilline', 'Piperacillinum']"	O=C([C@@H](C(C)(C)S[C@]1([H])[C@@H]2NC([C@H](NC(N3C(C(N(CC)CC3)=O)=O)=O)C4=CC=CC=C4)=O)N1C2=O)O[Na]	Piperacillin (sodium)	aa7aa1	xOthers
V45_P2F11	V45	V45_P2F	P2F11	P2	Drug	Entacapone	Entacapone	Metabolic Enzyme/Protease; Neuronal Signaling	Entacapone	N04BX02	N04BX	N04B	N04	N	"['(E)-alpha-Cyano-N,N-diethyl-3,4-dihydroxy-5-nitrocinnamamide', 'Entacapona', 'Entacapone', 'Entacaponum', 'N,N-diethyl-2-cyano-3-(3,4-dihydroxy-5-nitrophenyl) acrylamide']"	O=C(N(CC)CC)/C(C#N)=C/C1=CC([N+]([O-])=O)=C(O)C(O)=C1	Entacapone	1f6e9c	xOthers
V45_P2F2	V45	V45_P2F	P2F2	P2	Drug	Oxaprozin	Oxaprozin	Immunology/Inflammation; NF-Œ∫B	Oxaprozin	M01AE12	M01AE	M01A	M01	M	"['Oxaprozin', 'Oxaprozina', 'Oxaprozine', 'Oxaprozinum']"	O=C(O)CCC1=NC(C2=CC=CC=C2)=C(C3=CC=CC=C3)O1	Oxaprozin	633372	xOthers
